,example_input,example_output,all-generated-output
0,"#input
etkez
qimyl
oopfjomzy
stomw
zjupu
#output
",e t k e z q i m y l o o p f j o m z y s t o m w z j u p u,e t k e z q i m y l o o p f j o m z y s t o m w z j u p u p u@
1,"#input
jiptd
wsazt
dufdd
gtoghwvmaj
moxs
#output
",j i p t d w s a z t d u f d d g t o g h w v m a j m o x s,j i p t d w s a z t d u f d d g t o g h w v m a j m o x s s@
2,"#input
svjh
dtpxe
qycdl
kjboa
asyytnxkmv
#output
",s v j h d t p x e q y c d l k j b o a a s y y t n x k m v,s v j h d t p x e q y c d l k j b o a a s y y t n x k m v m v@
3,"#input
waxb
vdqad
kxls
ppekihjopf
mpphw
#output
",w a x b v d q a d k x l s p p e k i h j o p f m p p h w,w a x b v d q a d k x l s p p e k i h j o p f m p h w p h w@
4,"#input
cpkbiedbl
oryxx
tfwok
zjkq
dhewa
#output
",c p k b i e d b l o r y x x t f w o k z j k q d h e w a,c p k b i e d b l o r y x x t f w o k z j k q d h e w a w a@
5,"#input
ivtqazzrnl
ren
ubbnk
teqnr
gbpqe
#output
",i v t q a z z r n l r e n u b b n k t e q n r g b p q e,i v t q a z z r n l r e n u b b n k t e q n r g b p q e q e@
6,"#input
pwerz
pkfw
dqpcs
pgxfo
yorbcipcx
#output
",p w e r z p k f w d q p c s p g x f o y o r b c i p c x,p w e r z p k f w d q p c s p g x f o y o r b c p c x@
7,"#input
fhpat
gxs
unwvk
bczeflpssk
yolbj
#output
",f h p a t g x s u n w v k b c z e f l p s s k y o l b j,f h p a t g x s u n w v k b c z e f l p s s k y o l b j a j@
8,"#input
fximn
pcmfp
vmc
dykfg
qgwjbybqwg
#output
",f x i m n p c m f p v m c d y k f g q g w j b y b q w g,f x i m n p c m f p v m c d y k f g q g w j b y b q w g w g@
9,"#input
aqsbvkpaou
ndsee
fggyz
yop
icsfp
#output
",a q s b v k p a o u n d s e e f g g y z y o p i c s f p,"a q s b v k p a o u n d s e e f g g y z y o p i c s f p p p p p p p #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
 #output
@"
10,"#input
wtqn
yytpgclmwg
hjniu
pzwe
bzqq
#output
",w t q n y y t p g c l m w g h j n i u p z w e b z q q,w t q n y y t p g c l m w g h j n i u p z w e b z q q q@
11,"#input
fhauzvgero
tpwgq
ibmo
rbgbf
jct
#output
",f h a u z v g e r o t p w g q i b m o r b g b f j c t,f h a u z v g e r o t p w g q i b m o r b g b f c t c t@
12,"#input
yghiz
dwfcblqb
jkbkn
jhgq
dywwr
#output
",y g h i z d w f c b l q b j k b k n j h g q d y w w r,y g h i z d w f c b l q b j k b k n j h g q d y w r w r@
13,"#input
pfcjxflung
zikqb
sov
sgzzx
cns
#output
",p f c j x f l u n g z i k q b s o v s g z z x c n s,p f c j x f l u n g z i k q b s o v s g z z x c s n s@
14,"#input
hupbr
zdao
fqyu
mfkdltftp
mwfu
#output
",h u p b r z d a o f q y u m f k d l t f t p m w f u,h u p b r z d a o f q y u m f k d l t f t p m w g u@
15,"#input
sqh
cgw
juunl
gzzya
sfqxbmbgkj
#output
",s q h c g w j u u n l g z z y a s f q x b m b g k j,s q h c g w j u u n l g z z y a s f q x b m b g k j k j@
16,"#input
pebu
zmsim
qgxwbtfdi
dd
gychp
#output
",p e b u z m s i m q g x w b t f d i d d g y c h p,p e b u z m s i m q g x w b t f d i d d d g y c h p@
17,"#input
qjuv
hnlmm
qgerovyfl
wpb
lmio
#output
",q j u v h n l m m q g e r o v y f l w p b l m i o,q j u v h n l m m q g e r o v y f l w p b l m o i o@
18,"#input
xgug
ayrdlczqb
nesq
gqhss
qbn
#output
",x g u g a y r d l c z q b n e s q g q h s s q b n,x g u g a y r d l c z q b n e s q g q h s s n b n@
19,"#input
wyd
qekgrpxnzp
lczxl
ezypp
#output
",w y d q e k g r p x n z p l c z x l e z y p p,w y d q e k g r p x n z p l c z x l e z y p@
20,"#input
jsmxv
jotzoytnnu
tilw
kgue
#output
",j s m x v j o t z o y t n n u t i l w k g u e,j s m x v j o t z o y t n n u t i l w k g u@
21,"#input
kkrw
evmdiwjscf
vgeif
oeee
#output
",k k r w e v m d i w j s c f v g e i f o e e e,k k r w e v m d i w j s c f v g e i f o e e@
