,example_input,example_output,all-generated-output
0,"#input
tyhnnwljd
emws
rhjk
rp
su
cmod
gn
ahdn
lmd
nw
#output
",t y h n n w l j d e m w s r h j k r p s u c m o d g n a h d n l m d n w,t y h n n w l j d e m w s r h j k r p s u c m o d g n a h d n l m d n w@
1,"#input
zh
onf
sehdqhphdm
znywy
kdt
b
jc
wvow
gisjc
#output
",z h o n f s e h d q h p h d m z n y w y k d t b j c w v o w g i s j c,z h o n f s e h d q h p h d m z n y w y k d t b j c w v o w g i s j c@
2,"#input
v
tgl
qpekb
subgb
mykgtwz
scr
mk
ncyf
sfsm
#output
",v t g l q p e k b s u b g b m y k g t w z s c r m k n c y f s f s m,v t g l q p e k b s u b g b m y k g t w z s c r m k n c y f s f s m@
3,"#input
yzrwh
virl
r
lzn
lzoxiqldxn
cjk
wanrz
iai
#output
",y z r w h v i r l r l z n l z o x i q l d x n c j k w a n r z i a i,y z r w h v i r l r l z n l z o x i q l d x n c j k w a n r z i a i@
4,"#input
vphqm
cu
yvigzpx
xggp
o
vsxck
fpffr
eiq
sf
#output
",v p h q m c u y v i g z p x x g g p o v s x c k f p f f r e i q s f,v p h q m c u y v i g z p x x g g p o v s x c k f p f f r e i q s f@
5,"#input
nhogb
ecnpp
vyltu
egrzcg
db
nvwx
tlx
ktmj
#output
",n h o g b e c n p p v y l t u e g r z c g d b n v w x t l x k t m j,n h o g b e c n p p v y l t u e g r z c g d b n v w x t l x k t m j@
6,"#input
ywrz
mmshk
evpeqd
msckx
fuzx
pwt
png
yrsm
#output
",y w r z m m s h k e v p e q d m s c k x f u z x p w t p n g y r s m,y w r z m m s h k e v p e q d m s c k x f u z x p w t p n g y r s m@
7,"#input
cgv
ifu
fvg
kgqpkyjobe
urzg
luozy
gcb
miy
#output
",c g v i f u f v g k g q p k y j o b e u r z g l u o z y g c b m i y,c g v i f u f v g k g q p k y j o b e u r z g l u o z y g c b m i y@
8,"#input
uf
iijuawgu
ehmm
tz
anxg
dytv
uve
hf
gkom
h
#output
",u f i i j u a w g u e h m m t z a n x g d y t v u v e h f g k o m h,u f i i j u a w g u e h m m t z a n x g d y t v u v e h f g k o m h@
9,"#input
jtmu
uytxh
qk
mjlsyxbf
e
n
akdx
kjr
grhpm
f
#output
",j t m u u y t x h q k m j l s y x b f e n a k d x k j r g r h p m f,j t m u u y t x h q k m j l s y x b f e n a k d x k j r g r h p m f@
