,example_input,example_output,all-generated-output
0,"#input
dkphsehz
najhvetzi
cszlpgen
woqsugrd
#output
",d k p h s e h z n a j h v e t z i c s z l p g e n w o q s u g r d,d k p h s e h z n a j h v e t z i c s z l p g e n w o q s u g r d@
1,"#input
tgpsns
mvhjsnxmpn
wrrctow
eiscyawztn
#output
",t g p s n s m v h j s n x m p n w r r c t o w e i s c y a w z t n,t g p s n s m v h j s n x m p n w r r c t o w e i s c y a w z t n@
2,"#input
wzqlhbe
wupjycithe
yqmtvre
jnqifgln
#output
",w z q l h b e w u p j y c i t h e y q m t v r e j n q i f g l n,w z q l h b e w u p j y c i t h e y q m t v r e j n q i f g l n@
3,"#input
zrrvbqh
poeonxir
uzrmtswnd
xtgupgcl
#output
",z r r v b q h p o e o n x i r u z r m t s w n d x t g u p g c l,z r r v b q h p o e o n x i r u z r m t s w n d x t g u p g c l@
4,"#input
jqjjjom
tyfxhtgn
hbifek
wmckzunymf
#output
",j q j j j o m t y f x h t g n h b i f e k w m c k z u n y m f,j q j j j o m t y f x h t g n h b i f e k w m c k z u n y m f@
5,"#input
lnyfgtqbd
dujveyg
rhqwhau
gbrinxda
#output
",l n y f g t q b d d u j v e y g r h q w h a u g b r i n x d a,l n y f g t q b d d u j v e y g r h q w h a u g b r i n x d a@
6,"#input
pnvksth
qnyfttobs
qvhzqy
hjntvsvcn
#output
",p n v k s t h q n y f t t o b s q v h z q y h j n t v s v c n,p n v k s t h q n y f t t o b s q v h z q y h j n t v s v c n@
7,"#input
kiecqj
syanmtgcpk
dgescz
icpffsblg
#output
",k i e c q j s y a n m t g c p k d g e s c z i c p f f s b l g,k i e c q j s y a n m t g c p k d g e s c z i c p f f s b l g@
8,"#input
ckdocmk
tbbnkfgxt
dqdmwvxc
bioenfp
#output
",c k d o c m k t b b n k f g x t d q d m w v x c b i o e n f p,c k d o c m k t b b n k f g x t d q d m w v x c b i o e n f p@
9,"#input
fozqare
spfjjnvhrv
dltvak
qqlnuoky
#output
",f o z q a r e s p f j j n v h r v d l t v a k q q l n u o k y,f o z q a r e s p f j j n v h r v d l t v a k q q l n u o k y@
10,"#input
pwovqc
uzdarazmr
wjfyeeec
pkizznqs
#output
",p w o v q c u z d a r a z m r w j f y e e e c p k i z z n q s,p w o v q c u z d a r a z m r w j f y e e e c p k i z z n q s@
